Theta1,Theta2,Theta3,X,Y,Z,Orientation_1_1,Orientation_1_2,Orientation_1_3,Orientation_2_1,Orientation_2_2,Orientation_2_3,Orientation_3_1,Orientation_3_2,Orientation_3_3
0.737313,0.737313,-1.570796,2.374516,11.207126,5.714558,-0.672301,0.548012,0.49769,0.740278,0.49769,0.451988,-0.0,0.672301,-0.740278
0.737313,0.737313,-1.378454,3.159454,11.753085,6.575616,-0.555146,0.666422,0.49769,0.821764,0.347001,0.451988,0.128516,0.659903,-0.740278
0.737313,0.737313,-1.186112,4.081572,12.095979,7.404916,-0.417516,0.760253,0.49769,0.872943,0.183515,0.451988,0.252292,0.623167,-0.740278
0.737313,0.737313,-0.993769,5.106862,12.223163,8.171874,-0.264488,0.826046,0.49769,0.891925,0.01326,0.451988,0.366764,0.563447,-0.740278
0.737313,0.737313,-0.865541,5.829148,12.185462,8.634448,-0.156684,0.853086,0.49769,0.886298,-0.100906,0.451988,0.435805,0.511921,-0.740278
0.737313,0.737313,-0.673198,6.941107,11.94672,9.236252,0.00928,0.867306,0.49769,0.850665,-0.268468,0.451988,0.525626,0.419173,-0.740278
0.737313,0.737313,-0.480856,8.050773,11.497773,9.70817,0.174902,0.849538,0.49769,0.783658,-0.426129,0.451988,0.596062,0.310965,-0.740278
0.737313,0.737313,-0.288514,9.11722,10.855179,10.032796,0.334073,0.800438,0.49769,0.687748,-0.568074,0.451988,0.644513,0.191288,-0.740278
0.737313,0.737313,-0.096171,10.101115,10.042637,10.198159,0.480923,0.721816,0.49769,0.566474,-0.689068,0.451988,0.669194,0.064556,-0.740278
0.737313,0.737313,0.096171,10.96617,9.090114,10.198159,0.610036,0.616573,0.49769,0.424306,-0.784647,0.451988,0.669194,-0.064556,-0.740278
